location,Bangkok,Bangkok,Bangkok
lat,13.66656,13.66656,13.66656
lon,100.31250,100.31250,100.31250
asl,2.048,2.048,2.048
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Bangkok Temperature [2 m elevation corrected],Bangkok Temperature [2 m elevation corrected],Bangkok Temperature [2 m elevation corrected]
20220208T0000,34.785313,23.415314,28.14448
20220209T0000,33.615314,23.165314,27.568232
20220210T0000,33.665314,24.615314,27.970732
20220211T0000,34.195312,24.385315,28.268648
20220212T0000,31.835314,24.515314,27.299898
20220213T0000,32.965313,24.045315,27.586983
20220214T0000,32.725315,23.345314,27.346563
20220215T0000,33.865314,25.215315,28.351564
20220216T0000,31.355314,24.365314,27.227396
20220217T0000,29.475315,24.045315,26.416983
20220218T0000,31.075314,23.635315,26.840315
20220219T0000,31.305315,25.425314,27.595728
20220220T0000,32.135315,24.105314,27.342817
20220221T0000,32.275314,23.595314,27.454062
20220222T0000,31.975315,23.105314,26.80823
